estate,division,field_no,age_months,sd_vp,hect,crop,yph,code
Bearwell,Bearwell,9,11,VP,5.5,2546.5,463.0,BW
Bearwell,Bearwell,4C,18,VP,3.0,5595.0,1865.0,BW
Bearwell,Bearwell,4B,18,VP,2.0,3612.0,1806.0,BW
Bearwell,Bearwell,2,18,VP,7.75,10369.5,1338.0,BW
Bearwell,Bearwell,4A,27,VP,2.55,3967.7999999999997,1556.0,BW
Bearwell,Bearwell,1,27,VP,7.5,8790.0,1172.0,BW
Bearwell,Bearwell,3C,34,VP,2.59,3030.2999999999997,1170.0,BW
Bearwell,Bearwell,5A,35,VP,6.0,9594.0,1599.0,BW
Bearwell,Bearwell,3A,40,VP,2.71,4639.5199999999995,1712.0,BW
Bearwell,Bearwell,3B,40,VP,1.54,1760.22,1143.0,BW
Bearwell,Bearwell,5B,41,VP,6.0,8400.0,1400.0,BW
Bearwell,Bearwell,9A,47,VP,5.0,3600.0,720.0,BW
Bearwell,Bearwell,8A,6,SD,7.25,2102.5,290.0,BW
Bearwell,Bearwell,8B,18,SD,6.0,2154.0,359.0,BW
Bearwell,Bearwell,7,45,SD,3.75,1481.25,395.0,BW
Bearwell,Belgravia,4,6,VP,3.6,4924.8,1368.0,BG
Bearwell,Belgravia,12E,6,VP,2.5,3525.0,1410.0,BG
Bearwell,Belgravia,12F,6,VP,2.4,2520.0,1050.0,BG
Bearwell,Belgravia,2A,11,VP,0.8,930.4000000000001,1163.0,BG
Bearwell,Belgravia,2B,11,VP,5.0,5560.0,1112.0,BG
Bearwell,Belgravia,12C,11,VP,1.79,2124.73,1187.0,BG
Bearwell,Belgravia,5B,14,VP,1.5,3744.0,2496.0,BG
Bearwell,Belgravia,12D,17,VP,2.76,4672.679999999999,1693.0,BG
Bearwell,Belgravia,4A,18,VP,1.2,3765.6,3138.0,BG
Bearwell,Belgravia,12B,18,VP,1.13,2133.4399999999996,1888.0,BG
Bearwell,Belgravia,4NC,22,VP,1.65,3245.5499999999997,1967.0,BG
Bearwell,Belgravia,8,23,VP,1.0,2062.0,2062.0,BG
Bearwell,Belgravia,1,23,VP,0.75,2427.0,3236.0,BG
Bearwell,Belgravia,6,28,VP,5.8,9071.199999999999,1564.0,BG
Bearwell,Belgravia,5A,34,VP,1.5,3258.0,2172.0,BG
Bearwell,Belgravia,12A,34,VP,2.4,4672.8,1947.0,BG
Bearwell,Belgravia,2C,34,VP,2.33,8152.67,3499.0,BG
Bearwell,Belgravia,11,40,VP,8.0,15368.0,1921.0,BG
Bearwell,Belgravia,8A,47,VP,1.0,1918.0,1918.0,BG
Bearwell,Belgravia,2B,10,SD,3.5,1946.0,556.0,BG
Bearwell,Belgravia,7,18,SD,3.0,1002.0,334.0,BG
Bearwell,Belgravia,10,21,SD,1.32,749.76,568.0,BG
Bearwell,Belgravia,1,21,SD,6.5,3347.5,515.0,BG
Bearwell,Belgravia,9,40,SD,2.04,887.4,435.0,BG
Bearwell,Fairfield,8NC 2,9,VP,1.0,1762.0,1762.0,FF
Bearwell,Fairfield,10,11,VP,0.53,576.11,1087.0,FF
Bearwell,Fairfield,10C,11,VP,2.5,3477.5,1391.0,FF
Bearwell,Fairfield,9A,11,VP,1.7,1572.5,925.0,FF
Bearwell,Fairfield,3A,11,VP,2.0,1064.0,532.0,FF
Bearwell,Fairfield,4B,17,VP,3.93,4165.8,1060.0,FF
Bearwell,Fairfield,9,17,VP,5.16,7807.08,1513.0,FF
Bearwell,Fairfield,8,17,VP,4.0,9436.0,2359.0,FF
Bearwell,Fairfield,7,21,VP,6.0,10284.0,1714.0,FF
Bearwell,Fairfield,3B,22,VP,1.3,3608.8,2776.0,FF
Bearwell,Fairfield,10B,28,VP,1.5,3669.0,2446.0,FF
Bearwell,Fairfield,7A,28,VP,4.03,6939.660000000001,1722.0,FF
Bearwell,Fairfield,6A,29,VP,5.99,9542.07,1593.0,FF
Bearwell,Fairfield,8NC I,34,VP,1.28,3749.12,2929.0,FF
Bearwell,Fairfield,5A,35,VP,3.86,7160.3,1855.0,FF
Bearwell,Fairfield,5B,35,VP,4.7,7087.6,1508.0,FF
Bearwell,Fairfield,10D,39,VP,2.0,3478.0,1739.0,FF
Bearwell,Fairfield,10A,40,VP,2.5,3780.0,1512.0,FF
Bearwell,Fairfield,6B,40,VP,4.66,8052.4800000000005,1728.0,FF
Bearwell,Fairfield,8NC,44,VP,1.0,2550.0,2550.0,FF
Bearwell,Fairfield,4C,46,VP,2.31,3400.32,1472.0,FF
